"Statistic Label","Month","NACE Group","UNIT","VALUE"
"Retail Sales Index Volume Adjusted","2016 May","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","105.1"
"Retail Sales Index Volume Adjusted","2016 May","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","107.9"
"Retail Sales Index Volume Adjusted","2016 May","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","108.9"
"Retail Sales Index Volume Adjusted","2016 May","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","101.7"
"Retail Sales Index Volume Adjusted","2016 May","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","105.1"
"Retail Sales Index Volume Adjusted","2016 June","Motor trades (45)","Base 2015=100","108.3"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","103.3"
"Retail Sales Index Volume Adjusted","2016 June","Department stores (4719)","Base 2015=100","96.3"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale of automotive fuel (4730)","Base 2015=100","101.6"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale of hardware, paints and glass (4752)","Base 2015=100","105.2"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale of furniture and lighting (4759)","Base 2015=100","108.4"
"Retail Sales Index Volume Adjusted","2016 June","Bars (5630)","Base 2015=100","104.5"
"Retail Sales Index Volume Adjusted","2016 June","All retail businesses","Base 2015=100","105.7"
"Retail Sales Index Volume Adjusted","2016 June","Motor trades and automotive fuel (45,4730)","Base 2015=100","107.8"
"Retail Sales Index Volume Adjusted","2016 June","All retail businesses, excluding motor trades and bars","Base 2015=100","104.5"
"Retail Sales Index Volume Adjusted","2016 June","All retail businesses, excluding motor trades","Base 2015=100","104.6"
"Retail Sales Index Volume Adjusted","2016 June","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","104.7"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale of food (4711,4721 to 4729)","Base 2015=100","103.5"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","105.7"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","105.3"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","108.1"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","110.4"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","106.3"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","106"
"Retail Sales Index Volume Adjusted","2016 June","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","106.9"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","98"
"Retail Sales Index Volume Adjusted","2016 June","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","104.4"
"Retail Sales Index Volume Adjusted","2016 July","Motor trades (45)","Base 2015=100","120.3"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","104.6"
"Retail Sales Index Volume Adjusted","2016 July","Department stores (4719)","Base 2015=100","95"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale of automotive fuel (4730)","Base 2015=100","100.1"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale of hardware, paints and glass (4752)","Base 2015=100","105"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale of furniture and lighting (4759)","Base 2015=100","114.2"
"Retail Sales Index Volume Adjusted","2016 July","Bars (5630)","Base 2015=100","103"
"Retail Sales Index Volume Adjusted","2016 July","All retail businesses","Base 2015=100","109.7"
"Retail Sales Index Volume Adjusted","2016 July","Motor trades and automotive fuel (45,4730)","Base 2015=100","120.3"
"Retail Sales Index Volume Adjusted","2016 July","All retail businesses, excluding motor trades and bars","Base 2015=100","104"
"Retail Sales Index Volume Adjusted","2016 July","All retail businesses, excluding motor trades","Base 2015=100","104"
"Retail Sales Index Volume Adjusted","2016 July","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","104.2"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale of food (4711,4721 to 4729)","Base 2015=100","104.4"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","104.1"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","102.1"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","111.5"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","110.6"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","103.2"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","102.9"
"Retail Sales Index Volume Adjusted","2016 July","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","103.3"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","95.9"
"Retail Sales Index Volume Adjusted","2016 July","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","103.2"
"Retail Sales Index Volume Adjusted","2016 August","Motor trades (45)","Base 2015=100","115.4"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","104.9"
"Retail Sales Index Volume Adjusted","2016 August","Department stores (4719)","Base 2015=100","98.1"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale of automotive fuel (4730)","Base 2015=100","105.9"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale of hardware, paints and glass (4752)","Base 2015=100","109.3"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale of furniture and lighting (4759)","Base 2015=100","114.9"
"Retail Sales Index Volume Adjusted","2016 August","Bars (5630)","Base 2015=100","97.4"
"Retail Sales Index Volume Adjusted","2016 August","All retail businesses","Base 2015=100","108.2"
"Retail Sales Index Volume Adjusted","2016 August","Motor trades and automotive fuel (45,4730)","Base 2015=100","115.9"
"Retail Sales Index Volume Adjusted","2016 August","All retail businesses, excluding motor trades and bars","Base 2015=100","105.4"
"Retail Sales Index Volume Adjusted","2016 August","All retail businesses, excluding motor trades","Base 2015=100","104.9"
"Retail Sales Index Volume Adjusted","2016 August","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","105.3"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale of food (4711,4721 to 4729)","Base 2015=100","104.6"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","106.1"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","102.3"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","112.1"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","112.2"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","106.7"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","104.1"
"Retail Sales Index Volume Adjusted","2016 August","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","102.9"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","98.5"
"Retail Sales Index Volume Adjusted","2016 August","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","104.9"
"Retail Sales Index Volume Adjusted","2016 September","Motor trades (45)","Base 2015=100","111.4"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","103.9"
"Retail Sales Index Volume Adjusted","2016 September","Department stores (4719)","Base 2015=100","98.3"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale of automotive fuel (4730)","Base 2015=100","100.3"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale of hardware, paints and glass (4752)","Base 2015=100","106.1"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale of furniture and lighting (4759)","Base 2015=100","114.6"
"Retail Sales Index Volume Adjusted","2016 September","Bars (5630)","Base 2015=100","101.4"
"Retail Sales Index Volume Adjusted","2016 September","All retail businesses","Base 2015=100","107"
"Retail Sales Index Volume Adjusted","2016 September","Motor trades and automotive fuel (45,4730)","Base 2015=100","112.4"
"Retail Sales Index Volume Adjusted","2016 September","All retail businesses, excluding motor trades and bars","Base 2015=100","104.3"
"Retail Sales Index Volume Adjusted","2016 September","All retail businesses, excluding motor trades","Base 2015=100","104"
"Retail Sales Index Volume Adjusted","2016 September","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","104.5"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale of food (4711,4721 to 4729)","Base 2015=100","103.5"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","104.6"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","100.9"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","112.3"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","114"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","105.1"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","100.5"
"Retail Sales Index Volume Adjusted","2016 September","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","99"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","98.1"
"Retail Sales Index Volume Adjusted","2016 September","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","105.1"
"Retail Sales Index Volume Adjusted","2016 October","Motor trades (45)","Base 2015=100","114.7"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","104.9"
"Retail Sales Index Volume Adjusted","2016 October","Department stores (4719)","Base 2015=100","99.8"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale of automotive fuel (4730)","Base 2015=100","101.8"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale of hardware, paints and glass (4752)","Base 2015=100","108.7"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale of furniture and lighting (4759)","Base 2015=100","116.7"
"Retail Sales Index Volume Adjusted","2016 October","Bars (5630)","Base 2015=100","104.4"
"Retail Sales Index Volume Adjusted","2016 October","All retail businesses","Base 2015=100","107.5"
"Retail Sales Index Volume Adjusted","2016 October","Motor trades and automotive fuel (45,4730)","Base 2015=100","114.4"
"Retail Sales Index Volume Adjusted","2016 October","All retail businesses, excluding motor trades and bars","Base 2015=100","105.2"
"Retail Sales Index Volume Adjusted","2016 October","All retail businesses, excluding motor trades","Base 2015=100","105"
"Retail Sales Index Volume Adjusted","2016 October","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","105.3"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale of food (4711,4721 to 4729)","Base 2015=100","104.4"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","106"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","100.8"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","113.2"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","112.8"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","106.6"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","105.1"
"Retail Sales Index Volume Adjusted","2016 October","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","106.1"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","94.1"
"Retail Sales Index Volume Adjusted","2016 October","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","100.4"
"Retail Sales Index Volume Adjusted","2016 November","Motor trades (45)","Base 2015=100","116.3"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","103.9"
"Retail Sales Index Volume Adjusted","2016 November","Department stores (4719)","Base 2015=100","100.4"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale of automotive fuel (4730)","Base 2015=100","104.5"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale of hardware, paints and glass (4752)","Base 2015=100","115.9"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale of furniture and lighting (4759)","Base 2015=100","121.1"
"Retail Sales Index Volume Adjusted","2016 November","Bars (5630)","Base 2015=100","100.7"
"Retail Sales Index Volume Adjusted","2016 November","All retail businesses","Base 2015=100","108.3"
"Retail Sales Index Volume Adjusted","2016 November","Motor trades and automotive fuel (45,4730)","Base 2015=100","115.3"
"Retail Sales Index Volume Adjusted","2016 November","All retail businesses, excluding motor trades and bars","Base 2015=100","106.4"
"Retail Sales Index Volume Adjusted","2016 November","All retail businesses, excluding motor trades","Base 2015=100","105.7"
"Retail Sales Index Volume Adjusted","2016 November","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","106.5"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale of food (4711,4721 to 4729)","Base 2015=100","103.8"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","108.3"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","106.4"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","113.8"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","112.6"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","106.6"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","106.3"
"Retail Sales Index Volume Adjusted","2016 November","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","108"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","96.9"
"Retail Sales Index Volume Adjusted","2016 November","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","106.3"
"Retail Sales Index Volume Adjusted","2016 December","Motor trades (45)","Base 2015=100","119.9"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","104.9"
"Retail Sales Index Volume Adjusted","2016 December","Department stores (4719)","Base 2015=100","100.8"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale of automotive fuel (4730)","Base 2015=100","105.1"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale of hardware, paints and glass (4752)","Base 2015=100","110.4"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale of furniture and lighting (4759)","Base 2015=100","117.3"
"Retail Sales Index Volume Adjusted","2016 December","Bars (5630)","Base 2015=100","103.5"
"Retail Sales Index Volume Adjusted","2016 December","All retail businesses","Base 2015=100","107.8"
"Retail Sales Index Volume Adjusted","2016 December","Motor trades and automotive fuel (45,4730)","Base 2015=100","117.3"
"Retail Sales Index Volume Adjusted","2016 December","All retail businesses, excluding motor trades and bars","Base 2015=100","105.5"
"Retail Sales Index Volume Adjusted","2016 December","All retail businesses, excluding motor trades","Base 2015=100","105.3"
"Retail Sales Index Volume Adjusted","2016 December","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","105.7"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale of food (4711,4721 to 4729)","Base 2015=100","104.7"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","106.7"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","99.5"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","112"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","111.1"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","108"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","103.4"
"Retail Sales Index Volume Adjusted","2016 December","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","102.4"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","95.8"
"Retail Sales Index Volume Adjusted","2016 December","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","106"
"Retail Sales Index Volume Adjusted","2017 January","Motor trades (45)","Base 2015=100","121.8"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","106.1"
"Retail Sales Index Volume Adjusted","2017 January","Department stores (4719)","Base 2015=100","103"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale of automotive fuel (4730)","Base 2015=100","104.6"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale of hardware, paints and glass (4752)","Base 2015=100","110.6"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale of furniture and lighting (4759)","Base 2015=100","125.7"
"Retail Sales Index Volume Adjusted","2017 January","Bars (5630)","Base 2015=100","112.4"
"Retail Sales Index Volume Adjusted","2017 January","All retail businesses","Base 2015=100","111.9"
"Retail Sales Index Volume Adjusted","2017 January","Motor trades and automotive fuel (45,4730)","Base 2015=100","119"
"Retail Sales Index Volume Adjusted","2017 January","All retail businesses, excluding motor trades and bars","Base 2015=100","107"
"Retail Sales Index Volume Adjusted","2017 January","All retail businesses, excluding motor trades","Base 2015=100","107"
"Retail Sales Index Volume Adjusted","2017 January","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","107.1"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale of food (4711,4721 to 4729)","Base 2015=100","105.8"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","108.3"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","104.3"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","115.5"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","115.9"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","108.2"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","105.4"
"Retail Sales Index Volume Adjusted","2017 January","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","109.5"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","97.4"
"Retail Sales Index Volume Adjusted","2017 January","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","110.1"
"Retail Sales Index Volume Adjusted","2017 February","Motor trades (45)","Base 2015=100","117.4"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","107"
"Retail Sales Index Volume Adjusted","2017 February","Department stores (4719)","Base 2015=100","103"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale of automotive fuel (4730)","Base 2015=100","103.4"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale of hardware, paints and glass (4752)","Base 2015=100","112.7"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale of furniture and lighting (4759)","Base 2015=100","125"
"Retail Sales Index Volume Adjusted","2017 February","Bars (5630)","Base 2015=100","106.8"
"Retail Sales Index Volume Adjusted","2017 February","All retail businesses","Base 2015=100","111.3"
"Retail Sales Index Volume Adjusted","2017 February","Motor trades and automotive fuel (45,4730)","Base 2015=100","115.2"
"Retail Sales Index Volume Adjusted","2017 February","All retail businesses, excluding motor trades and bars","Base 2015=100","107.6"
"Retail Sales Index Volume Adjusted","2017 February","All retail businesses, excluding motor trades","Base 2015=100","107.6"
"Retail Sales Index Volume Adjusted","2017 February","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","107.8"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale of food (4711,4721 to 4729)","Base 2015=100","107"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","109"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","104.2"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","116.4"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","116.5"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","109.4"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","107.8"
"Retail Sales Index Volume Adjusted","2017 February","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","110.5"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","99.2"
"Retail Sales Index Volume Adjusted","2017 February","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","107.6"
"Retail Sales Index Volume Adjusted","2017 March","Motor trades (45)","Base 2015=100","116.5"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","106.8"
"Retail Sales Index Volume Adjusted","2017 March","Department stores (4719)","Base 2015=100","102.6"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale of automotive fuel (4730)","Base 2015=100","103.5"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale of hardware, paints and glass (4752)","Base 2015=100","112"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale of furniture and lighting (4759)","Base 2015=100","122.5"
"Retail Sales Index Volume Adjusted","2017 March","Bars (5630)","Base 2015=100","106.6"
"Retail Sales Index Volume Adjusted","2017 March","All retail businesses","Base 2015=100","112.1"
"Retail Sales Index Volume Adjusted","2017 March","Motor trades and automotive fuel (45,4730)","Base 2015=100","114.9"
"Retail Sales Index Volume Adjusted","2017 March","All retail businesses, excluding motor trades and bars","Base 2015=100","108.5"
"Retail Sales Index Volume Adjusted","2017 March","All retail businesses, excluding motor trades","Base 2015=100","108.9"
"Retail Sales Index Volume Adjusted","2017 March","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","108.8"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale of food (4711,4721 to 4729)","Base 2015=100","106.6"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","110.9"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","106"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","117.3"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","117.7"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","108.7"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","116.7"
"Retail Sales Index Volume Adjusted","2017 March","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","122.4"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","97.6"
"Retail Sales Index Volume Adjusted","2017 March","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","107.9"
"Retail Sales Index Volume Adjusted","2017 April","Motor trades (45)","Base 2015=100","111.3"
"Retail Sales Index Volume Adjusted","2017 April","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","108.2"
"Retail Sales Index Volume Adjusted","2017 April","Department stores (4719)","Base 2015=100","106"
"Retail Sales Index Volume Adjusted","2017 April","Retail sale of automotive fuel (4730)","Base 2015=100","102.6"
"Retail Sales Index Volume Adjusted","2017 April","Retail sale of hardware, paints and glass (4752)","Base 2015=100","112.5"
"Retail Sales Index Volume Adjusted","2017 April","Retail sale of furniture and lighting (4759)","Base 2015=100","129.6"
"Retail Sales Index Volume Adjusted","2017 April","Bars (5630)","Base 2015=100","109.3"
"Retail Sales Index Volume Adjusted","2017 April","All retail businesses","Base 2015=100","109.9"
"Retail Sales Index Volume Adjusted","2017 April","Motor trades and automotive fuel (45,4730)","Base 2015=100","108.5"
"Retail Sales Index Volume Adjusted","2017 April","All retail businesses, excluding motor trades and bars","Base 2015=100","109.1"
"Retail Sales Index Volume Adjusted","2017 April","All retail businesses, excluding motor trades","Base 2015=100","109.2"
"Retail Sales Index Volume Adjusted","2017 April","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","109.2"
"Retail Sales Index Volume Adjusted","2017 April","Retail sale of food (4711,4721 to 4729)","Base 2015=100","107.4"
"Retail Sales Index Volume Adjusted","2017 April","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","111.2"
"Retail Sales Index Volume Adjusted","2017 April","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","102.1"
"Retail Sales Index Volume Adjusted","2017 April","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","120.9"
