"Statistic Label","Month","NACE Group","UNIT","VALUE"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","97.8"
"Retail Sales Index Value Unadjusted","2015 June","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","97.6"
"Retail Sales Index Value Unadjusted","2015 July","Motor trades (45)","Base 2015=100","140.8"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","99.8"
"Retail Sales Index Value Unadjusted","2015 July","Department stores (4719)","Base 2015=100","90.3"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale of automotive fuel (4730)","Base 2015=100","101.8"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale of hardware, paints and glass (4752)","Base 2015=100","107.8"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale of furniture and lighting (4759)","Base 2015=100","77.9"
"Retail Sales Index Value Unadjusted","2015 July","Bars (5630)","Base 2015=100","110"
"Retail Sales Index Value Unadjusted","2015 July","All retail businesses","Base 2015=100","108.9"
"Retail Sales Index Value Unadjusted","2015 July","Motor trades and automotive fuel (45,4730)","Base 2015=100","135.1"
"Retail Sales Index Value Unadjusted","2015 July","All retail businesses, excluding motor trades and bars","Base 2015=100","96.1"
"Retail Sales Index Value Unadjusted","2015 July","All retail businesses, excluding motor trades","Base 2015=100","96.9"
"Retail Sales Index Value Unadjusted","2015 July","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","95.7"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale of food (4711,4721 to 4729)","Base 2015=100","99.8"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","92"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","100.3"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","87.5"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","85.7"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","102"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","84.2"
"Retail Sales Index Value Unadjusted","2015 July","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","79.4"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","106.1"
"Retail Sales Index Value Unadjusted","2015 July","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","95.8"
"Retail Sales Index Value Unadjusted","2015 August","Motor trades (45)","Base 2015=100","91.7"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","97.5"
"Retail Sales Index Value Unadjusted","2015 August","Department stores (4719)","Base 2015=100","90.1"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale of automotive fuel (4730)","Base 2015=100","99.5"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale of hardware, paints and glass (4752)","Base 2015=100","101.1"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale of furniture and lighting (4759)","Base 2015=100","102.7"
"Retail Sales Index Value Unadjusted","2015 August","Bars (5630)","Base 2015=100","116"
"Retail Sales Index Value Unadjusted","2015 August","All retail businesses","Base 2015=100","96.5"
"Retail Sales Index Value Unadjusted","2015 August","Motor trades and automotive fuel (45,4730)","Base 2015=100","92.8"
"Retail Sales Index Value Unadjusted","2015 August","All retail businesses, excluding motor trades and bars","Base 2015=100","97.3"
"Retail Sales Index Value Unadjusted","2015 August","All retail businesses, excluding motor trades","Base 2015=100","98.3"
"Retail Sales Index Value Unadjusted","2015 August","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","97.1"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale of food (4711,4721 to 4729)","Base 2015=100","97.5"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","96.7"
"Retail Sales Index Value Unadjusted","2015 August","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","98"
